PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3762740,3762740,0,13,12,5066682.7,4347785.0,1018966,10671613,3325329.8,19488.5,2320.0,1910,223530,61309.6,4320638.4,3835223.5,2625,9656394,3276442.2,1059012.6,1012894.0,1010205,1327965,113359.6,cudaLaunchKernel,"<unnamed>::packed_attention_bf16_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, const int *, const int *, long, long, long, long, long, long, long, long, int, int, int, int, float, bool)"
3762740,3762740,0,1,0,2737069.0,2737069.0,2737069,2737069,0.0,2737069.0,2737069.0,2737069,2737069,0.0,,,,,0.0,1408.0,1408.0,1408,1408,0.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
3762740,3762740,0,4,4,748143.5,29163.5,20579,2913668,1443703.8,709592.5,4815.0,3390,2825350,1410505.2,16167.3,11314.5,2009,40031,18088.8,22383.8,13888.0,13472,48287,17270.7,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
3762740,3762740,0,13,12,312164.7,254590.0,100766,678085,205185.0,4904.6,2390.0,1800,22860,6222.5,233674.0,195441.0,421,583541,206114.6,91586.2,92160.0,82656,94112,2839.8,cuLaunchKernelEx,_packed_attention_forward_kernel
3762740,3762740,0,3,3,189219.7,35365.0,33658,498636,267963.8,134543.7,5590.0,3900,394141,224819.5,27316.0,2270.0,2095,77583,43532.6,27360.0,27488.0,26912,27680,399.7,cudaLaunchKernel,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
3762740,3762740,0,1573,1571,22766.6,9715.0,8511,582584,53096.1,2181.2,2040.0,1880,6890,409.1,15238.3,2201.0,127,575020,53114.1,5368.2,5376.0,5311,7008,59.6,cudaLaunchKernel,"void magma_sgemmEx_kernel<float, float, float, (bool)0, (bool)0, (int)6, (int)3, (int)5, (int)3, (int)3>(int, int, int, BatchedTensor, int, BatchedTensor, int, BatchedTensor, int, BatchedTensor, int, int, int, const T1 *, const T1 *, T1, T1, int, cublasLtEpilogue_t, int, const void *, long)"
3762740,3762740,0,1573,1565,22236.0,8939.0,7788,607366,53336.6,2229.0,2110.0,1940,20750,596.3,15497.2,2179.0,821,599636,53458.5,4591.8,4576.0,4512,6816,68.1,cudaLaunchKernel,"void magma_sgemmEx_kernel<float, float, float, (bool)1, (bool)0, (int)6, (int)4, (int)6, (int)3, (int)4>(int, int, int, BatchedTensor, int, BatchedTensor, int, BatchedTensor, int, BatchedTensor, int, int, int, const T1 *, const T1 *, T1, T1, int, cublasLtEpilogue_t, int, const void *, long)"
3762740,3762740,0,1872,1872,21511.7,6145.0,4924,2732216,81440.9,3678.9,2120.0,1960,2701829,62395.5,16162.0,2238.0,923,592572,51971.1,1670.8,1696.0,1376,2240,69.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
3762740,3762740,0,1573,1571,20953.2,5470.0,4281,2574398,84138.9,3741.4,2010.0,1840,2574398,64857.6,16111.2,2271.0,815,600294,54148.1,1121.9,1120.0,1088,5568,113.5,cudaLaunchKernel,"void <unnamed>::softmax_warp_forward<float, float, float, (int)6, (bool)0, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
3762740,3762740,0,5620,5617,20841.8,7009.0,5628,2682517,62517.8,2711.5,2160.0,1890,2680059,35721.8,15582.3,2251.0,210,541444,51458.9,2556.6,2528.0,2272,52320,1064.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
